cve_id,vendor,vendor_display,description,cvss_vector,B,H,class,published,epss,kev_override,source
CVE-2016-5084,animas,Animas,Animas OneTouch Ping Insulin Pump Vulnerabilities,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,2.835,7.5,IIb,2016-07-09,0.0,false,ICSMA index (live rebuild)
CVE-2016-5086,animas,Animas,Animas OneTouch Ping Insulin Pump Vulnerabilities,CVSS:3.0/AV:A/AC:H/PR:N/UI:N/S:U/C:L/I:H/A:L,1.62,7.5,IIb,2016-07-09,0.0,false,ICSMA index (live rebuild)
CVE-2016-5085,animas,Animas,Animas OneTouch Ping Insulin Pump Vulnerabilities,CVSS:3.0/AV:A/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:N,1.62,7.5,IIb,2016-07-09,0.0,false,ICSMA index (live rebuild)
CVE-2016-8355,smiths medical,Smiths Medical,Smiths Medical CADD-Solis Medication Safety Software Vulnerabilities,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,3.11,7.5,IIb,2016-08-05,0.0,false,ICSMA index (live rebuild)
CVE-2016-8358,smiths medical,Smiths Medical,Smiths Medical CADD-Solis Medication Safety Software Vulnerabilities,CVSS:3.0/AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,1.777,7.5,IIb,2016-08-05,0.0,false,ICSMA index (live rebuild)
CVE-2017-12722,smiths medical,Smiths Medical,Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Vulnerabilities (Update A),CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.221,7.5,IIb,2017-09-07,0.0,false,ICSMA index (live rebuild)
CVE-2017-12725,smiths medical,Smiths Medical,Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Vulnerabilities (Update A),CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.221,7.5,IIb,2017-09-07,0.0,false,ICSMA index (live rebuild)
CVE-2017-12720,smiths medical,Smiths Medical,Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Vulnerabilities (Update A),CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.221,7.5,IIb,2017-09-07,0.0,false,ICSMA index (live rebuild)
CVE-2017-12724,smiths medical,Smiths Medical,Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Vulnerabilities (Update A),CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.221,7.5,IIb,2017-09-07,0.0,false,ICSMA index (live rebuild)
CVE-2017-12726,smiths medical,Smiths Medical,Smiths Medical Medfusion 4000 Wireless Syringe Infusion Pump Vulnerabilities (Update A),CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N,2.221,7.5,IIb,2017-09-07,0.0,false,ICSMA index (live rebuild)
